	F01	F02	F03	F04	F05	F06
GO:0003953	0	0	1	0	0	0
GO:0003954	13	17	14	43	68	83
GO:0003955	12	13	6	6	3	7
GO:0003956	0	0	0	1	2	1
GO:0003957	7	13	9	8	5	6
GO:0003959	4	3	1	5	6	11
GO:0003960	24	24	16	11	6	5
GO:0003961	1	0	0	1	1	0
GO:0003962	17	15	6	15	9	10
GO:0003963	3	3	2	10	9	15
GO:0003964	8	4	7	12	4	6
GO:0003968	2	1	2	4	7	4
GO:0003972	3	0	3	13	9	12
GO:0003973	1	4	4	9	4	8
GO:0003974	0	1	0	5	3	3
GO:0003975	1	0	0	1	2	5
GO:0003977	18	18	15	44	39	66
GO:0003978	16	23	23	39	45	61
GO:0003979	8	14	15	15	18	21
GO:0003983	14	18	13	18	23	47
GO:0003984	68	63	46	82	106	107
GO:0003985	18	26	19	50	38	54
GO:0003986	5	8	5	29	19	24
GO:0003987	17	17	18	31	34	44
GO:0003988	22	30	15	32	27	26
GO:0003989	31	41	33	54	50	53
GO:0003990	0	0	1	0	0	0
GO:0003991	13	15	7	12	20	30
GO:0003992	15	16	11	15	21	31
GO:0003993	7	9	5	9	5	5
GO:0003994	16	14	11	25	17	15
GO:0003995	41	49	55	126	137	195
GO:0003997	1	2	1	0	0	0
GO:0003998	10	9	8	21	19	37
GO:0003999	7	9	5	12	7	13
GO:0004000	18	16	15	30	37	43
GO:0004001	2	1	0	4	3	3
GO:0004013	5	12	11	27	23	33
GO:0004014	7	9	3	11	15	14
GO:0004015	19	17	12	19	13	12
GO:0004016	106	113	50	81	94	75
GO:0004017	13	15	14	26	34	48
GO:0004018	11	17	11	28	27	33
GO:0004019	11	11	13	25	31	33
GO:0004020	13	9	10	18	11	16
GO:0004021	8	9	6	6	8	9
GO:0004022	28	21	13	38	56	42
GO:0004024	5	3	4	5	6	8
GO:0004026	1	0	0	0	0	0
GO:0004027	0	0	0	1	0	1
GO:0004028	1	0	1	0	0	0
GO:0004029	22	21	19	28	16	9
GO:0004030	8	4	7	6	3	2
GO:0004031	0	1	0	1	0	1
GO:0004032	0	0	0	1	0	1
GO:0004033	2	1	0	1	2	1
GO:0004034	0	0	0	4	5	3
GO:0004035	4	9	5	8	4	2
GO:0004037	3	2	3	2	0	0
GO:0004038	6	7	5	6	10	11
GO:0004039	1	0	0	0	1	0
GO:0004040	30	16	13	22	28	22
GO:0004042	14	12	11	13	27	39
GO:0004043	0	0	1	0	0	0
GO:0004044	12	15	17	34	34	36
GO:0004045	11	19	14	36	36	54
GO:0004046	6	2	4	3	4	8
GO:0004047	26	29	22	24	13	21
GO:0004048	10	13	11	28	23	29
GO:0004049	24	29	19	40	41	53
GO:0004053	5	7	3	5	5	6
GO:0004055	11	15	11	12	23	23
GO:0004056	16	19	11	18	20	26
GO:0004057	2	2	1	2	1	1
GO:0004059	0	1	0	0	0	1
GO:0004060	0	1	0	1	0	0
GO:0004061	14	18	12	23	24	24
GO:0004062	2	2	1	2	2	0
GO:0004063	1	0	0	0	2	2
GO:0004064	12	7	4	7	4	4
GO:0004065	46	32	29	66	48	60
GO:0004066	6	11	14	24	23	27
GO:0004067	12	12	9	13	10	16
GO:0004068	3	4	5	11	10	17
GO:0004069	23	24	16	41	53	63
GO:0004070	14	20	19	34	34	44
GO:0004071	0	1	0	8	4	7
GO:0004072	18	17	12	27	34	48
GO:0004073	9	10	10	21	33	42
GO:0004074	1	1	1	2	3	1
GO:0004075	9	13	12	20	15	12
GO:0004076	8	7	5	8	6	11
GO:0004077	11	13	10	21	26	29
GO:0004081	4	4	1	7	2	2
GO:0004084	5	8	3	6	7	3
GO:0004085	8	13	13	18	24	40
GO:0004087	0	0	0	0	1	1
GO:0004088	25	32	24	39	32	47
GO:0004089	17	13	11	20	8	9
GO:0004090	10	10	3	6	10	6
GO:0004096	11	10	10	8	12	11
GO:0004098	4	3	0	5	8	8
GO:0004103	0	0	0	1	0	0
GO:0004104	2	0	2	2	0	0
GO:0004106	12	16	13	21	35	36
GO:0004107	14	13	8	19	21	27
GO:0004108	19	12	15	16	9	5
GO:0004109	12	16	12	20	15	15
GO:0004111	0	5	4	6	5	9
GO:0004112	3	6	3	13	16	11
GO:0004113	17	14	13	34	41	51
GO:0004114	3	2	4	8	2	3
GO:0004115	7	6	9	15	8	8
GO:0004118	3	2	4	6	2	3
GO:0004121	4	7	5	11	6	14
GO:0004122	11	11	11	12	11	10
GO:0004123	10	11	7	12	8	7
GO:0004124	22	28	31	47	67	65
GO:0004125	4	9	6	16	24	24
GO:0004126	1	6	5	10	7	11
GO:0004127	0	0	1	2	4	3
GO:0004128	0	1	1	2	1	2
GO:0004129	51	61	59	95	37	13
GO:0004130	4	2	0	5	4	1
GO:0004131	3	6	4	5	4	2
GO:0004132	4	6	5	14	11	12
GO:0004133	2	0	0	1	2	1
GO:0004134	1	2	3	6	5	0
GO:0004135	1	1	0	1	1	0
GO:0004136	0	1	6	6	7	6
GO:0004137	0	1	6	6	9	7
GO:0004138	7	8	7	10	10	9
GO:0004139	5	8	9	15	16	25
GO:0004140	11	13	8	23	14	16
GO:0004141	6	7	3	6	3	3
GO:0004142	0	0	0	1	0	2
